Identificador,Tipo_patologia,Causa,Accion_tomada,Estado_final
NFR-11,Cadena rota (sin prioridad),"D-02","Prioridad Must declarada y justificada en la Tabla 42; se enlaza a CU-17 y a CP-24, que verifican el derecho de acceso junto con RF-24",Enlazado
NFR-12,Cadena rota (sin prioridad, sin caso de prueba),"D-02","Prioridad Must declarada y justificada en la Tabla 42; se redacto CP-N12",Enlazado
NFR-13,Cadena rota (sin prioridad, sin caso de prueba),"D-02","Prioridad Should declarada y justificada en la Tabla 42; se redacto CP-N13",Enlazado
NFR-14,Cadena rota (sin prioridad, sin caso de prueba),"D-02","Prioridad Should declarada y justificada en la Tabla 42; se redacto CP-N14",Enlazado
NFR-15,Cadena rota (sin prioridad, sin caso de prueba),"D-02","Prioridad Should declarada y justificada en la Tabla 42; se redacto CP-N15",Enlazado
NFR-16,Cadena rota (sin prioridad),"D-02","Prioridad Must declarada y justificada en la Tabla 42; se enlaza a CP-22, que verifica la deteccion de falta de conectividad junto con RF-22",Enlazado
Actor:Personal-TI,Actor sin RF de origen,"Concentracion de las fuentes de elicitacion: solo Personal de Infraestructura y Docente figuran como Actor/Origen de algun RF","No afecta la metrica M1c bajo la definicion de cobertura adoptada (participa en 6 casos de uso). Se declara como limitacion de validez externa del ERS; cerrarla exige trabajo de campo adicional, no edicion documental",Justificado como limitacion
Actor:Personal-Administrativo,Actor sin RF de origen,"Misma causa","Participa en 7 casos de uso. Declarado como limitacion de validez externa",Justificado como limitacion
Actor:Autoridades-Facultad,Actor sin RF de origen,"Misma causa","Participa en 5 casos de uso. Declarado como limitacion de validez externa",Justificado como limitacion
Actor:Sensores-Gateway-IoT,Actor de sistema sin RF de origen,"Es un actor de sistema, no una parte interesada que pueda ser entrevistada como fuente de requisitos","Participa en 7 casos de uso. No procede elicitar de el; se justifica por escrito",Justificado
Actor:Sistema-Videovigilancia,Actor de sistema sin RF de origen,"Misma causa","Participa en 1 caso de uso (CU-15). Justificado por escrito",Justificado
Actor:Sistema-Horario-Academico,Actor de sistema sin RF de origen,"Misma causa","Participa en 3 casos de uso. Justificado por escrito",Justificado
Actor:Servicio-Notificaciones,Actor de sistema sin RF de origen,"Misma causa","Participa en 2 casos de uso. Justificado por escrito",Justificado
