ID_CP,Requisito,Precondicion,Accion,Resultado_esperado,Origen_del_criterio
CP-18,RF-18,"Usuario autenticado con permisos de reportes","Exportar un reporte de prueba en PDF y en Excel","Ambos archivos se descargan con encabezados, filtros y datos completos","ERS 3.2 RF-18, criterio de verificacion"
CP-19,RF-19,"Usuario registrado con rol Docente","Intentar acceder a funciones administrativas y tecnicas reservadas a otros roles","El sistema deniega el acceso y habilita unicamente las funciones del rol Docente","ERS 3.2 RF-19, criterio de verificacion"
CP-20,RF-20,"Sensor de ocupacion instalado, configurado y conectado","Simular varios cambios de ocupacion del aula","Cada cambio queda registrado con fecha, hora, estado y duracion en el historial","ERS 3.2 RF-20, criterio de verificacion"
CP-21,RF-21,"Horario academico cargado y equipo reportando su estado operativo","Dejar un equipo encendido fuera de horario durante el tiempo configurado","La notificacion se genera en <=60 s y queda registrada en bitacora","ERS 3.2 RF-21, criterio de verificacion"
CP-22,RF-22,"Dispositivo IoT registrado y asociado a un aula","Simular la desconexion del sensor","El panel muestra el estado sin conexion y se genera alerta al responsable en <=60 s","ERS 3.2 RF-22, criterio de verificacion"
CP-23,RF-23,"Usuario autenticado ejecutando acciones en la plataforma","Ejecutar una accion de control, un cambio de estado de ticket y una exportacion de reporte","Las tres acciones quedan registradas con usuario, fecha, hora, modulo y resultado","ERS 3.2 RF-23, criterio de verificacion"
CP-24,RF-24,"Usuario autenticado con perfil y bitacora asociados","Registrar una solicitud de exportacion de datos personales","Se genera un archivo descargable con los campos de perfil y bitacora, dentro de <=15 dias habiles","ERS 3.2 RF-24, criterio de verificacion; LOPDP Art. 13"
CP-25,RF-25,"Usuario autenticado y dato de perfil identificado como propio","Registrar una solicitud de correccion sobre un campo de perfil","El cambio se refleja en el sistema y queda auditado en bitacora, dentro de <=15 dias habiles","ERS 3.2 RF-25, criterio de verificacion; LOPDP Art. 14"
CP-IA-01,RF-IA-01,"Modelo IA-01 entrenado y conjunto de prueba con holdout temporal","Ejecutar la inferencia sobre el conjunto de prueba","Se emite un puntaje de riesgo 0-1 por equipo y el F1 del modelo es >=0,70","Ficha IA-01, RNF-IA-01"
CP-IA-02,RF-IA-02,"Modelo IA-01 en produccion y equipo con puntaje por encima del umbral","Ejecutar el ciclo de evaluacion de riesgo","Se genera una alerta predictiva de prioridad Media asociada al equipo, sin crear ticket automaticamente","Ficha IA-01, bloques (a) y (d)"
CP-IA-03,RF-IA-03,"Prediccion de alto riesgo ya generada","Consultar la explicacion de la prediccion","Se presentan las variables que mas influyeron, en <=2 s y con <=60 palabras","Ficha IA-01; ERS RNF-10"
CP-IA-04,RF-IA-04,"Historial de al menos 60 dias de lecturas para el aula","Ejecutar el calculo de la linea base de consumo","Se obtiene un patron de referencia por aula y franja horaria, indicando si proviene de sensor real o de proxy","Ficha IA-02, bloques (a) y (b)"
CP-IA-05,RF-IA-05,"Linea base calculada y muestra de 4 semanas revisada manualmente","Ejecutar la deteccion de anomalias por lote","Se listan las anomalias con aula, franja y magnitud, con tasa de falsos positivos <=15 % y en <=10 minutos","Ficha IA-02, RNF-IA-06 y RNF-IA-07"
CP-IA-06,RF-IA-06,"Anomalias de consumo detectadas para el periodo","Generar el reporte administrativo del periodo","El reporte incorpora las anomalias agregadas por aula y franja, sin atribuir responsabilidad individual, indicando la variable que mas contribuyo","Ficha IA-02, RNF-IA-10 y RNF-IA-11"
CP-S01,RNF-17,"Ciclo de evaluacion de apagado automatico en curso","Inyectar lecturas de presencia inconsistentes o ausentes en al menos 20 casos (sensor caido, lectura oscilante, lectura unica sin confirmacion)","El sistema no ejecuta el apagado y genera alerta de verificacion fallida en el 100 % de los casos","Ficha RNF-17 (Safety), criterio de verificacion"
CP-N02,NFR-02,"Sistema desplegado y monitor de disponibilidad activo","Monitorear el uptime durante 30 dias continuos","La disponibilidad mensual es >=99 %, es decir, un tiempo fuera de servicio <=7,3 h en el mes","ERS 3.3 Tabla 39, NFR-02"
CP-N04,NFR-04,"Al menos 3 usuarios reales sin capacitacion previa en la plataforma","Pedir a cada uno que consulte el estado de un aula y medir el tiempo de tarea","Cada usuario completa la tarea en <=2 minutos","ERS 3.3 Tabla 39, NFR-04"
CP-N05,NFR-05,"Plataforma desplegada y accesible","Abrir la interfaz en Chrome, Firefox y Edge, en resoluciones de 360 px y 1920 px","La interfaz opera sin instalacion adicional y sin perdida de funciones en los 3 navegadores y las 2 resoluciones","ERS 3.3 Tabla 39, NFR-05"
CP-N06,NFR-06,"Suite de pruebas unitarias ejecutable sobre los modulos de alertas y control remoto","Ejecutar la herramienta de cobertura del proyecto","La cobertura de pruebas unitarias de los modulos criticos es >=70 %","ERS 3.3 Tabla 39, NFR-06"
CP-N08,NFR-08,"Conjunto de datos de horario academico de prueba disponible","Ejecutar la sincronizacion con el Sistema de Horario Academico y verificar por checksum","El 100 % de las sincronizaciones se completa sin perdida de datos, confirmado por checksum de los registros importados","ERS 3.3 Tabla 39, NFR-08"
CP-N09,NFR-09,"Plataforma desplegada y un tipo de sensor IoT ficticio adicional definido","Integrar el sensor nuevo midiendo el esfuerzo real invertido","La integracion se completa en <=8 horas-persona sin modificar el nucleo de la plataforma","ERS 3.3 Tabla 39, NFR-09"
CP-N12,NFR-12,"Sistema con control de acceso activo y administrador registrado","Simular un intento de acceso no autorizado y medir el tiempo hasta la alerta","El administrador recibe la alerta automatica en <=5 minutos desde el evento","ERS 3.3 Tabla 39, NFR-12"
CP-N13,NFR-13,"Aula con gateway IoT operativo y conectividad normalmente disponible","Cortar la conexion del gateway y restablecerla de forma controlada","El sistema reanuda la recepcion de datos en <=5 minutos tras el restablecimiento, sin perder lecturas posteriores al reinicio","ERS 3.3 Tabla 39, NFR-13"
CP-N14,NFR-14,"MVP en periodo de prueba con personal de TI operando","Registrar el tiempo entre la alerta y la identificacion de la causa en cada falla reportada","El tiempo medio de diagnostico no supera los 15 minutos","ERS 3.3 Tabla 39, NFR-14"
CP-N15,NFR-15,"Plataforma accesible y herramienta de throttling de red disponible","Acceder a la plataforma limitando el ancho de banda a 1 Mbps","La interfaz web es completamente operativa, sin perdida de funciones criticas","ERS 3.3 Tabla 39, NFR-15"
