Fragmento,Codigo,Categoria,Requisito_derivado,ID_evidencia,Analista_codificador;
Le pusieron un papel con chicle y taparon la cámara y se llevaron un proyector,Riesgo_vandalismo_hurto_equipos,Seguridad fisica de activos,RF-Candidato_alerta_manipulacion_camara,EV-08,Sanchez G.;
Me sirve, me sirve demasiado en lo que es la administración... tener controlado controles de las aulas y todo,Aceptacion_panel_por_conserje,Adopcion y confianza,RF-07,EV-09,Sanchez G.;
"Comparto mi pantalla; en una tengo el horario del curso y en la otra el horario docente para ver cómo van funcionando esos cambios,Proceso_manual_cruce_horarios,Gestion de horarios,RF-15";RD-13,EV-10,Sanchez G.
Me parece súper interesante. ¿Qué le adicionaría yo? Una respuesta... un tiempo de respuesta mínimo, por decir, si es de alta prioridad, mínimo un día,Solicitud_SLA_por_prioridad,Gestion de mantenimiento y tickets,RF-Candidato_SLA_prioridad,EV-10,Sanchez G.;
Me mantengan informada... su solicitud ya fue recibida, la estamos revisando, es posible que tal día estaremos allí para reparar,Necesidad_notificacion_estado_ticket,Gestion de mantenimiento y tickets,RF-12,EV-10,Sanchez G.;
Temas de algún tipo de seguimiento de derivaciones a departamentos... esa es información súper delicada que no tiene por qué nadie saberlo,Preocupacion_confidencialidad_datos_sensibles,Gestion de acceso y roles,RF-19,EV-10,Sanchez G.;
Sobre todo el de la gestión de un mantenimiento, porque a veces sí siento que hay como una desconexión,Desconexion_percibida_seguimiento_mantenimiento,Gestion de mantenimiento y tickets,RF-12,EV-10,Sanchez G.;
Si nosotros tuviéramos una aplicación que se pudiera hacer de allá acá, a buena hora... la parte de automatización para que los datos se den cuenta,Interes_automatizacion_apagado_remoto,Control remoto de equipos,RF-02;RF-05,EV-11,Sanchez G.
Si tuviéramos en la tecnología una aplicación... para poder nosotros continuamente estar revisando desde el teléfono,Interes_monitoreo_movil_camaras,Monitoreo y visibilidad,RF-02;NFR-Portabilidad,EV-11,Sanchez G.
¿Cómo podría yo, si estoy en el aula 110... necesito abrir la 101? Pienso yo que debería abrirse por separado, unitariamente,Preferencia_vista_individual_no_grid,Usabilidad de interfaz,RF-Candidato_vista_individual_aula,EV-11,Sanchez G.;
Quieren es que uno trate de resolver o directamente al [AUTORIDAD DE LA FACULTAD]... pero no quieren responsabilidad,Ambiguedad_cadena_responsabilidad_reporte,Trazabilidad y responsabilidad,RF-23,EV-11,Sanchez G.;
Quiere decir que se utilizaría para antes de iniciar mi clase... aclimato el aula antes de ingresar,Uso_previo_a_clase_control_clima,Control remoto de equipos,RF-05,EV-12,Sanchez G.;
Igual sería bueno que solo se apagara cuando ya no hubiera estudiantes en el aula,Automatizacion_condicionada_a_ocupacion,Control remoto de equipos,RF-16,EV-12,Sanchez G.;
Si esto es automático también lo haría... esto sería para un problema que esté sucediendo bajo mis horas de clase,Distincion_alerta_automatica_vs_manual,Gestion de alertas,RF-08,EV-12,Sanchez G.;
¿Dónde me va a reflejar de que esa herramienta yo ya he reportado, que fue diagnosticada, le repararon, le revisaron? Eso es para que tenga una secuencia,Falta_historial_correcciones_por_equipo,Gestion de mantenimiento y tickets,RF-Candidato_historial_por_equipo,EV-13,Sanchez G.;
Si el docente no tiene llaves... ¿quién abre las puertas? Suelen estar esperando cinco, diez, quince minutos,Retraso_apertura_aula_sin_responsable_disponible,Control remoto de equipos,RF-Candidato_control_acceso_puertas,EV-13,Sanchez G.;
Consideraría que eso se puede esperar hasta 24 horas,Umbral_tiempo_respuesta_aceptable_24h,Gestion de mantenimiento y tickets,NFR-Candidato_SLA_24h,EV-13,Sanchez G.;
El SGA nos genera automáticamente, nos envía alertas cuando tenemos un choque de horario o conflicto de aula,Precedente_alertas_automaticas_en_SGA,Gestion de alertas,RF-08,EV-14,Sanchez G.;
Eso tardó en poder solucionar esa situación más o menos unas tres semanas... porque nosotros no tenemos activos fijos disponibles aquí en la facultad,Dependencia_procesos_administrativos_externos,Limitaciones fuera de alcance,RD-07;RD-15,EV-14,Sanchez G.
Si yo tengo acceso a las cámaras que me permitan monitorear, puedo evidenciar que el docente en efecto está impartiendo su clase,Uso_camara_para_verificar_asistencia_docente,Limitaciones fuera de alcance,RD-15,EV-14,Sanchez G.;
Yo creo que esta es la que me solucionaría... la gestión de mantenimiento, definitivamente. Porque eso nos reduce tiempo,Priorizacion_percibida_gestion_mantenimiento,Adopcion y confianza,RF-12,EV-14,Sanchez G.;
No hay internet. ¿Cómo vas a hacer todo eso? En la mayoría de las aulas... y eso es algo que sí me preocupa,Dependencia_critica_conectividad_internet,Infraestructura y conectividad,RNF-Candidato_modo_offline,EV-15,Sanchez G.;
Esta grid de aquí... ocho columnas por cinco, son 40 cosas que usted me pone en una pantallita. Ese es otro problema,Sobrecarga_informacion_interfaz_densa,Usabilidad de interfaz,RNF-04,EV-15,Sanchez G.;
No creo que eso sea conveniente, que los profesores veamos las aulas... entre estudiantes tienen sus romances... no es bueno,Rechazo_explicito_visualizacion_camaras_por_privacidad,Etica y privacidad,RD-09;RF-06_limitado,EV-15,Sanchez G.
Cuando llueve las aulas están inundadas. Y eso no veo que esté ahí,Nuevo_tipo_incidencia_inundacion,Gestion de alertas,RF-Candidato_catalogo_incidencias_ampliado,EV-15,Sanchez G.;
Una banca dañada... si yo le puedo tomar la foto y decir mira, esta banca está dañada en tal aula, estaría bien,Solicitud_adjuntar_foto_a_reporte,Gestion de mantenimiento y tickets,RF-Candidato_foto_en_reporte,EV-15,Sanchez G.;
Tiene que llegarle al [AUTORIDAD DE LA FACULTAD]... me queda a mí un respaldo porque yo sí he avisado,Necesidad_notificacion_multiple_como_respaldo,Trazabilidad y responsabilidad,RF-23,EV-15,Sanchez G.;
La cantidad de máquinas que están en buen estado... el hardware, el software para el tipo de carrera,Requisitos_especificos_laboratorio_computo,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-16,Sanchez G.;
He perdido hasta 40 minutos... me ha tocado cambiarme de laboratorio porque no ha sido posible dar solución,Impacto_tiempo_clase_por_falla_no_resuelta,Adopcion y confianza,RF-12,EV-16,Sanchez G.;
No debería poner estado anterior y estado nuevo, sino simplemente estado... con la fecha y hora ya se sabe,Simplificacion_historial_ticket_un_solo_estado,Usabilidad de interfaz,RNF-04,EV-16,Sanchez G.;
Cada laboratorio creo que debería tener información sobre las carreras... porque según la carrera son los programas que se instalan,Necesidad_metadatos_laboratorio_por_carrera,Inventario y recursos,RF-Candidato_inventario_equipos_laboratorio,EV-16,Sanchez G.;
